10-16  Per Capita Annual Consumption Expenditure of Urban Households by Region (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,Food,,,,,,,,,,,,,,,,,,,Clothing,,,,,Residence,,,,,,,,,,,,,,,,,,,,
,Consumption,,Grain,Starches,Beans and,Oil and,"Meat,",Eggs,Aquatic,Vegetables,Condiments,Sugar,Tobacco,Liquor and,Dried and,Cake,Milk and,Other,Dining,Food,,Garments,Clothing,Shoes,Tailoring and,,Housing,"Water, Elec-",Household,Durable,Articles,Bed,Household,Furniture,Household,Care and,and,Transport,Communi-,"Education,",Recreation,Education,Recreation,Miscellaneous,Miscellaneous,Services
,Expenditure,,,and Tubers,Bean,Fats,Poultry and,,Products,,,,,Beverages,Fresh,,Processed,Food,Out,Processing,,,Materials,,Laundering,,,"tricity, Fuels","Facilities,",Consumer,for Interior,Articles,Articles for,Materials,Services,Medical,Communi-,,cations,Culture and,Articles,,Services,Goods,Goods,
,,,,,Products,,Processed,,,,,,,Beverages,Melons,,Products,,,Service Fees,,,,,Service Fees,,,and Others,Articles and,Goods,Decoration,,Daily Use,,,Services,cations,,,Recreation,,,,and Services,,
,,,,,,,Products,,,,,,,,and Fruits,,,,,,,,,,,,,,Services,,,,,,,,,,,Services,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  National Average,13471.45,4804.71,385.51,41.74,66.48,125.43,914.22,98.02,326.86,501.65,63.28,41.67,232.59,230.36,378.75,98.30,198.47,80.45,1019.29,1.63,1444.34,1057.11,9.71,323.39,8.43,1332.14,421.19,807.86,908.01,394.56,27.05,75.44,339.66,11.04,60.26,871.77,1983.70,1254.80,728.90,1627.64,406.96,661.34,559.34,499.15,316.22,182.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Beijing,19934.48,6392.90,409.02,54.33,77.39,136.85,909.54,120.22,250.95,530.94,108.97,71.05,249.11,480.22,646.29,220.03,371.04,68.75,1687.28,0.92,2087.91,1458.16,12.75,532.49,15.27,1577.35,642.55,794.52,1377.77,618.54,43.17,103.12,506.86,8.37,97.71,1327.22,3420.91,2373.07,1047.84,2901.93,833.14,1028.89,1039.90,848.49,551.03,297.46
  Tianjin,16561.77,5940.44,385.73,51.34,59.61,130.85,865.70,158.77,443.79,521.49,98.08,44.08,235.43,355.53,539.06,185.61,236.06,128.83,1500.26,0.23,1567.58,1122.04,15.26,355.95,11.00,1615.57,562.82,991.60,1119.93,628.07,37.24,75.91,318.22,4.61,55.87,1275.64,2454.38,1607.17,847.21,1899.50,567.58,752.54,579.38,688.73,485.53,203.20
  Hebei,10318.32,3335.23,326.16,37.79,50.84,119.09,578.26,103.51,141.81,403.14,55.43,30.13,130.65,209.73,287.33,80.78,148.19,81.67,549.54,1.17,1225.94,872.62,10.64,296.26,5.06,1344.47,313.26,954.06,693.56,353.25,22.83,54.90,214.00,18.61,29.96,923.83,1398.35,875.94,522.41,1001.01,268.05,420.52,312.44,395.93,246.16,149.77
  Shanxi,9792.65,3052.57,369.50,64.52,64.93,88.12,432.23,89.86,57.45,347.90,47.78,24.13,206.51,138.13,289.15,78.02,161.23,62.66,529.24,1.21,1205.89,890.15,7.04,264.71,6.27,1245.00,334.42,813.07,612.59,290.27,17.09,49.06,213.46,5.09,37.61,774.89,1340.90,739.11,601.79,1229.68,287.64,607.82,334.22,331.14,185.47,145.66
  Inner Mongolia,13994.62,4211.48,401.60,37.49,39.20,94.12,761.02,66.43,102.05,353.14,54.51,30.27,272.32,333.55,339.56,58.43,173.47,175.72,917.50,1.08,2203.59,1615.60,6.77,468.89,19.66,1384.45,478.63,814.18,948.87,456.22,33.48,81.51,301.35,30.44,45.88,1126.03,1768.65,1195.58,573.08,1641.17,455.95,645.02,540.21,710.37,493.51,216.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Liaoning,13280.04,4658.00,387.35,52.27,65.31,113.27,738.95,104.74,364.23,499.40,75.88,30.54,231.66,234.80,455.52,88.77,188.03,64.70,961.85,0.76,1586.81,1104.74,11.65,399.67,10.23,1314.79,310.55,909.00,785.67,291.11,22.98,77.24,328.76,7.00,58.58,1079.81,1773.26,1079.86,693.40,1495.90,350.12,732.35,413.43,585.78,344.10,241.69
  Jilin,11679.04,3767.85,391.04,47.39,68.69,106.00,657.07,89.84,173.70,462.56,66.91,26.77,144.45,165.20,381.68,54.38,109.85,137.34,684.09,0.89,1570.68,1115.68,8.38,375.86,9.71,1344.41,184.84,1084.23,710.28,306.03,20.19,57.94,279.96,24.56,21.60,1171.25,1363.91,826.17,537.74,1244.56,263.45,664.24,316.87,506.09,288.41,217.68
  Heilongjiang,10683.92,3784.72,429.72,64.97,66.13,109.58,692.99,94.90,185.57,420.29,65.21,36.29,128.33,155.31,395.02,68.23,137.02,64.38,670.14,0.62,1608.37,1106.45,5.22,422.78,10.83,1128.14,264.43,816.73,618.76,228.42,14.44,52.23,284.20,11.26,28.21,948.44,1191.31,619.70,571.62,1001.48,229.53,528.50,243.45,402.69,242.25,160.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Shanghai,23200.40,7776.98,614.73,58.23,98.45,113.73,1136.23,117.29,817.64,622.01,79.76,103.92,444.70,336.51,593.73,205.14,410.27,99.39,1925.05,0.18,1794.06,1351.82,19.38,355.14,15.11,2166.22,1214.24,773.93,1800.19,815.82,72.02,132.77,624.91,2.51,152.16,1005.54,4076.46,2890.85,1185.61,3363.25,1055.87,1167.89,1139.48,1217.70,890.92,326.78
  Jiangsu,14357.49,5243.14,373.38,47.99,82.77,108.09,1027.57,106.86,421.94,568.46,61.18,40.25,309.24,248.73,382.30,102.73,234.10,107.13,1017.48,2.93,1465.54,1092.05,14.97,303.36,10.51,1234.05,423.43,722.09,1026.32,431.32,21.80,90.09,384.78,6.87,91.45,805.73,1935.07,1199.30,735.77,2133.25,557.89,831.71,743.65,514.41,318.80,195.61
  Zhejiang,17858.20,6118.46,364.15,40.80,82.66,117.84,845.32,85.88,713.79,543.17,54.28,46.73,413.12,256.99,491.58,109.27,219.84,77.86,1653.25,1.95,1802.29,1397.19,16.74,339.41,9.64,1418.00,493.48,846.73,916.16,380.50,29.67,90.85,323.22,6.47,85.45,1033.70,3437.15,2488.84,948.30,2586.09,530.30,1234.09,821.69,546.36,338.97,207.39
