13-1  Main Indicators of Industrial Enterprises above Designated Size (2007),,,,,,,
,,,,,,,
,(100 million yuan),,,,,,
Item,Number,Gross,,Revenue,,Annual,
,of,Industrial,,from,,Average,
,Enter-,Output,Total,Principal,Total,Number of,
,prises,Value,Assets,Business,Profits,Employed,
,(unit),(current,,,,Persons,
,,prices),,,,(10 000,
,,,,,,persons),
,,,,,,,
Total,336768,405177,353037,399717,27155,7875.2,
Grouped by Light & Heavy Industries,,,,,,,
   Light Industry,146612,119640,88078,116235,6714,3280.1,
   Heavy Industry,190156,285537,264960,283482,20442,4595.1,
Grouped by Size of Enterprises,,,,,,,
   Large Enterprises,2910,140858,138731,145096,11412,1823.1,
   Medium-sized Enterprises,33596,121699,118284,118920,8215,2580.0,
   Small Enterprises,300262,142620,96022,135701,7529,3472.1,
By Status of Registration,,,,,,,
Domestic Funded,269312,277548,256670,274219,19628,5522.2,
   State-owned Enterprises,10074,36387,54723,36452,2630,646.2,
   Collective-owned Enterprises,13032,10170,5739,9885,640,246.6,
   Cooperative Enterprises,5880,3561,2443,3433,195,86.3,
   Joint Ownership Enterprises,999,1583,1771,1538,108,23.5,
      State Joint Ownership Enterprises,169,921,1288,909,64,7.0,
      Collective Joint Ownership Enterprises,299,183,97,175,13,5.5,
      Joint State-collective Enterprises,262,200,204,193,16,5.5,
      Other Joint Ownership Enterprises,269,280,183,261,15,5.5,
   Limited Liability Corporations,53326,90336,99765,91308,7228,1761.6,
      State Sole funded Corporations,1329,18335,30029,19594,1373,362.3,
      Other Limited Liability Corporations,51997,72002,69735,71714,5856,1399.3,
   Share-holding Corporations Limited,7782,40159,38135,39977,3686,484.0,
   Private Enterprises,177080,94023,53305,90278,5054,2252.9,
      Private-funded Enterprises,39549,15785,6364,15082,1025,393.2,
      Private Partnership Enterprises,8044,3218,1258,3070,228,86.9,
      Private Limited Liability Corporations,122360,69742,42444,67068,3470,1661.8,
      Private Share-holding Corporations Ltd.,7127,5279,3239,5057,331,111.0,
   Other Enterprises,1139,1328,789,1349,86,21.1,
"Enterprises with Funds from Hong Kong,",31949,42418,34071,41456,2516,1108.7,
    Macao and Taiwan,,,,,,,
   Joint-ventures Enterprises,10927,16919,13807,16361,1141,319.4,
   Cooperative Enterprises,1673,1837,1485,1775,124,54.9,
   Enterprises with Sole Investment,19008,21648,16680,21282,1144,714.7,
   Share-holding Corporations Ltd.,341,2015,2099,2037,108,19.8,
Foreign Funded Enterprises,35507,85211,62296,84042,5011,1244.3,
   Joint-venture Enterprises,14485,37178,27553,36496,2403,433.9,
   Cooperation Enterprises,1537,2539,2458,2500,225,46.7,
   Enterprises with Sole Funds,18968,42601,28781,42036,2154,728.6,
   Share-holding Corporations Ltd.,517,2893,3504,3010,229,35.1,
,,,,,,,
,,,,,,,
a) Industrial enterprises above designated size are those with annual revenue from principal business over 5 million yuan. The same applies to the ,,,,,,,
    tables following.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
