14-1 Main Indicators of Industrial Enterprises above Designated Size (2009),,,,,,
,,,,,,
,,,,,,
Item,Number,Gross,Total,Revenue,Total,Annual
,of,Industrial,Assets,from,Profits,Average
,Enter-,Output,,Principal,,Number of
,prises,Value,(100 ,Business,(100 ,Employed
,(unit),(current,million,(100 ,million,Persons
,,prices),yuan),million,yuan),(10 000
,,,,yuan),,persons)
,,,,,,
Total,434364,548311,493693,542522,34542,8831.2
Grouped by Light & Heavy Industries,,,,,,
   Light Industry,181580,161498,115493,157799,10388,3545.0
   Heavy Industry,252784,386813,378200,384723,24154,5286.2
Grouped by Size of Enterprises,,,,,,
   Large Enterprises,3254,175812,193124,180701,10898,2043.6
   Medium-sized Enterprises,38036,159374,157957,155050,11368,2787.7
   Small Enterprises,393074,213125,142612,206771,12277,3999.9
By Status of Registration,,,,,,
Domestic Funded,358988,395625,369215,392259,24435,6380.8
   State-owned Enterprises,9105,45648,68685,47035,1973,639.1
   Collective-owned Enterprises,10285,9587,5016,9451,638,199.3
   Cooperative Enterprises,5011,3608,2469,3529,242,66.3
   Joint Ownership Enterprises,735,1296,1656,1144,52,17.2
      State Joint Ownership Enterprises,131,841,1357,703,24,6.2
      Collective Joint Ownership Enterprises,239,200,98,193,13,4.8
      Joint State-collective Enterprises,169,106,101,103,2,3.6
      Other Joint Ownership Enterprises,196,149,99,144,14,2.7
   Limited Liability Corporations,65926,121078,140354,122604,7685,1871.6
      State Sole Funded Corporations,1454,22028,39279,23674,1148,338.0
      Other Limited Liability Corporations,64472,99049,101075,98930,6536,1533.6
   Share-holding Corporations Limited,9275,50209,58360,49753,4033,569.9
   Private Enterprises,256031,162026,91176,156604,9678,2973.8
      Private-funded Enterprises,56817,29889,12104,28982,2182,541.9
      Private Partnership Enterprises,10229,4859,1983,4753,373,105.6
      Private Limited Liability Corporations,179254,116860,70659,112883,6415,2162.6
      Private Share-holding Corporations Ltd.,9731,10417,6429,9985,707,163.7
   Other Enterprises,2620,2173,1500,2140,135,43.6
"Enterprises with Funds from Hong Kong,",34365,52221,44514,51130,3448,1143.1
    Macao and Taiwan,,,,,,
   Joint-venture Enterprises,10875,18678,17694,18058,1237,309.2
   Cooperative Enterprises,1284,1706,1466,1663,124,39.8
   Enterprises with Sole Investment,21623,29655,22823,29201,1905,767.8
   Share-holding Corporations Ltd.,583,2182,2531,2208,181,26.3
,,,,,,
Foreign Funded Enterprises,41011,100466,79963,99133,6659,1307.4
   Joint-venture Enterprises,15472,45783,37233,45334,3559,449.6
   Cooperation Enterprises,1322,2073,2046,2041,171,34.8
   Enterprises with Sole Funds,23552,49046,36471,48249,2662,777.3
   Share-holding Corporations Ltd.,665,3563,4214,3509,267,45.6
,,,,,,
,,,,,,
a) Industrial enterprises above designated size are those with annual revenue from principal business over 5 million yuan. The same applies to the ,,,,,,
    tables following.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
