"3-15  Population by Sex, Educational Attainment and Region (2012)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data in this table are obtained from the 2012 National Sample Survey on Population Changes. The sampling fraction is 0.831бы.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(person)
Region,Population,,,No,,,Primary,,,Junior,,,Senior,,,College,,
,Aged 6,Male,Female,Schooling,Male,Female,School,Male,Female,Secondary,Male,Female,Secondary,Male,Female,and Higher,Male,Female
,and Over,,,,,,,,,School,,,School,,,Level,,
,,,,,,,,,,,,,,,,,,
  National Total,1047865,534803,513062,55454,16753,38701,281681,133547,148134,430799,230637,200162,168941,94487,74454,110990,59380,51610
,,,,,,,,,,,,,,,,,,
  Beijing,16447,8418,8029,271,63,208,1627,766,862,4746,2540,2206,3659,1830,1829,6143,3219,2924
  Tianjin,11175,5529,5646,297,87,210,1885,879,1006,3990,2082,1908,2450,1250,1199,2553,1230,1323
  Hebei,55844,28412,27432,2383,733,1650,13858,6471,7387,28314,15063,13251,8059,4427,3632,3232,1719,1513
  Shanxi,28388,14483,13905,810,326,485,6039,2780,3259,13065,6795,6270,5766,3159,2607,2707,1423,1283
  Inner Mongolia,19598,9999,9599,863,298,564,4794,2242,2551,8209,4429,3780,3369,1843,1526,2364,1186,1178
,,,,,,,,,,,,,,,,,,
  Liaoning,35238,17655,17583,908,295,612,7069,3281,3788,15616,8110,7506,5127,2668,2460,6519,3301,3217
  Jilin,21799,11059,10740,480,168,312,5340,2502,2838,9955,5259,4696,4069,2143,1926,1955,987,969
  Heilongjiang,30608,15559,15049,873,324,549,7476,3498,3979,14154,7502,6652,5013,2613,2400,3093,1622,1469
,,,,,,,,,,,,,,,,,,
  Shanghai,19034,9918,9117,466,118,348,2403,1073,1330,7728,4219,3509,4046,2202,1844,4392,2305,2087
  Jiangsu,62230,30700,31530,3492,879,2613,14701,6570,8130,24602,12890,11712,11062,6330,4732,8373,4030,4344
  Zhejiang,43285,22088,21197,2383,691,1692,11640,5701,5939,16056,8916,7141,6733,4211,2522,6473,2569,3903
  Anhui,46039,23855,22184,3700,1011,2689,13071,6043,7029,18814,10139,8675,5733,3352,2381,4721,3311,1410
  Fujian,28931,14525,14406,1606,373,1233,9231,4113,5118,11267,6375,4892,4565,2524,2041,2262,1139,1121
  Jiangxi,34348,17654,16694,1350,381,969,10233,4700,5533,13805,7183,6622,6114,3660,2453,2846,1731,1116
  Shandong,75422,37952,37470,4933,1373,3560,19465,8734,10731,32127,17189,14938,11530,6563,4967,7367,4094,3274
,,,,,,,,,,,,,,,,,,
  Henan,72042,36109,35933,3958,1228,2731,17865,8566,9299,34963,17709,17254,10457,6081,4376,4798,2524,2273
  Hubei,45109,22876,22233,2697,764,1933,10585,4966,5618,17468,9217,8251,8844,4742,4102,5514,3185,2329
  Hunan,51099,26204,24895,2338,772,1566,15225,7470,7755,21041,10893,10147,8746,4960,3785,3749,2108,1641
  Guangdong,82228,43261,38967,2479,561,1918,18921,8717,10205,35639,19476,16163,17162,9927,7235,8027,4581,3446
  Guangxi,35185,18148,17037,1433,429,1004,12085,5732,6353,15085,8278,6807,4302,2458,1844,2281,1252,1029
  Hainan,6773,3589,3185,312,91,221,1518,721,797,3082,1686,1396,1167,690,477,694,399,294
,,,,,,,,,,,,,,,,,,
  Chongqing,23049,11562,11487,1240,387,853,7865,3897,3968,8224,4242,3982,3421,1796,1626,2299,1241,1058
  Sichuan,63113,33010,30103,4353,1350,3003,20810,10475,10334,23404,13263,10141,8289,4543,3746,6258,3378,2879
  Guizhou,26638,13598,13040,3040,916,2124,9841,4955,4886,9289,5184,4105,2720,1577,1144,1749,967,781
  Yunnan,36013,18498,17515,3009,1020,1989,14876,7508,7368,11290,6424,4865,4401,2198,2203,2438,1348,1090
  Tibet,2332,1157,1175,800,344,456,1001,525,476,312,177,135,119,58,61,99,51,47
,,,,,,,,,,,,,,,,,,
  Shaanxi,29505,15229,14276,1576,536,1040,6841,3162,3679,12385,6654,5731,5552,3108,2445,3150,1769,1381
  Gansu,20108,10332,9775,1774,588,1187,6796,3298,3498,6639,3602,3037,3109,1770,1339,1790,1075,715
  Qinghai,4414,2276,2138,639,247,391,1613,816,797,1242,697,546,497,278,219,423,238,185
  Ningxia,4961,2525,2436,363,121,241,1644,786,858,1871,1030,842,631,355,276,452,232,219
  Xinjiang,16910,8624,8286,629,278,351,5362,2599,2763,6418,3414,3004,2229,1171,1059,2272,1162,1110
,,,,,,,,,,,,,,,,,,
