9-1  Total Production of Energy and Its Composition,,,,,
,,,,,
Year,Total Energy,As Percentage of Total Energy Production (%),,,
,Production,Coal,Crude Oil,Natural Gas,"Hydro-power, Nuclear"
,(10 000 tons of SCE),,,,"Power, Wind Power"
,,,,,
1978,62770,70.3,23.7,2.9,3.1
1980,63735,69.4,23.8,3.0,3.8
1985,85546,72.8,20.9,2.0,4.3
1990,103922,74.2,19.0,2.0,4.8
,,,,,
1991,104844,74.1,19.2,2.0,4.7
1992,107256,74.3,18.9,2.0,4.8
1993,111059,74.0,18.7,2.0,5.3
1994,118729,74.6,17.6,1.9,5.9
1995,129034,75.3,16.6,1.9,6.2
,,,,,
1996,133032,75.0,16.9,2.0,6.1
1997,133460,74.3,17.2,2.1,6.5
1998,129834,73.3,17.7,2.2,6.8
1999,131935,73.9,17.3,2.5,6.3
2000,135048,73.2,17.2,2.7,6.9
,,,,,
2001,143875,73.0,16.3,2.8,7.9
2002,150656,73.5,15.8,2.9,7.8
2003,171906,76.2,14.1,2.7,7.0
2004,196648,77.1,12.8,2.8,7.3
2005,216219,77.6,12.0,3.0,7.4
,,,,,
2006,232167,77.8,11.3,3.4,7.5
2007,247279,77.7,10.8,3.7,7.8
2008,260552,76.8,10.5,4.1,8.6
2009,274619,77.3,9.9,4.1,8.7
2010,296916,76.6,9.8,4.2,9.4
,,,,,
2011,317987,77.8,9.1,4.3,8.8
2012,331848,76.5,8.9,4.3,10.3
2013,340000,75.6,8.9,4.6,10.9
,,,,,
,,,,,
a) The coefficient for conversion of electric power into SCE (standard coal equivalent) is calculated on the basis of the data on average coal,,,,,
    consumption in generating electric power in the same year. The same applies to the tables following.,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
