9-14  Electricity Consumption by Region,,,,,,
,,,,,,
,,,,, (100 million kwh),
Region,1995,2000,2005,2010,2012,2013
, , ,,,,
  Beijing       ,261.74,384.43,570.54,809.90,874.28,913.11
  Tianjin       ,178.99,234.05,384.84,645.74,722.48,774.49
  Hebei         ,602.68,809.34,1501.92,2691.52,3077.99,3251.19
  Shanxi        ,399.16,501.99,946.33,1460.00,1765.79,1832.35
  Inner Mongolia,186.83,254.21,667.72,1536.83,2016.76,2181.90
,, , ,,,
  Liaoning      ,622.81,748.89,1110.56,1715.26,1899.88,2008.46
  Jilin         ,267.60,291.37,378.23,576.98,637.00,653.85
  Heilongjiang  ,409.38,442.28,555.85,747.84,827.91,845.20
,, , ,,,
  Shanghai      ,403.27,559.45,921.97,1295.87,1353.45,1410.60
  Jiangsu       ,684.80,971.34,2193.45,3864.37,4580.90,4956.62
  Zhejiang      ,439.59,738.05,1642.31,2820.93,3210.55,3453.05
  Anhui         ,288.97,338.93,582.16,1077.91,1361.10,1528.07
  Fujian        ,261.28,401.51,756.59,1315.09,1579.50,1700.73
  Jiangxi       ,181.21,208.15,391.98,700.51,867.67,947.11
  Shandong      ,741.07,1000.71,1911.61,3298.46,3794.55,4083.12
,, , ,,,
  Henan         ,571.48,718.52,1352.74,2353.96,2747.75,2899.18
  Hubei         ,414.99,503.02,788.91,1330.44,1507.85,1629.75
  Hunan         ,374.76,406.12,674.43,1171.91,1346.51,1423.09
  Guangdong     ,787.66,1334.58,2673.56,4060.13,4619.41,4830.13
  Guangxi       ,220.77,314.44,510.15,993.24,1153.85,1237.74
  Hainan        ,32.00,38.37,81.61,159.02,210.85,232.02
,, , ,,,
  Chongqing     ,,307.61,347.68,626.44,723.76,813.26
  Sichuan       ,582.85,521.23,942.59,1549.03,1830.70,1948.95
  Guizhou       ,203.70,287.78,486.97,835.38,1046.72,1126.27
  Yunnan        ,223.71,273.58,557.25,1004.07,1315.86,1459.81
  Tibet,,,,20.41,27.76,30.65
,, , ,,,
  Shaanxi       ,239.68,292.76,516.43,859.22,1066.75,1152.22
  Gansu         ,241.06,295.33,489.48,804.43,994.56,1073.25
  Qinghai       ,69.02,109.10,206.56,465.18,602.22,676.29
  Ningxia       ,92.38,136.17,302.88,546.77,741.79,811.18
  Xinjiang      ,119.67,182.98,310.14,661.96,1151.50,1539.75
, ,,,,,
,,,,,,
a) Data since 2000 are provided by the Association of Power Generation Enterprises.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
