11-15  Per Capita Annual Cash Consumption Expenditure of Urban Households by Region (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,Food,,,,,"Meat,",,,,,,,,Dried and,,,,,,Clothing,,,,,Residence,,,Household,,,,,,,Transport,,,"Education,",,,,Health,Others,,
,Consumption,,Grain,Starches,Beans and,Oil and,Poultry and,Eggs,Aquatic,Vegetables,Condiments,Sugar,Tobacco,Liquor and,Fresh,Cake,Milk and,Other,Dining,Food,,Garments,Clothing,Shoes,Tailoring and,,Housing,"Water, Elec-",Facilities,Durable,Articles,Bed,Household,Furniture,Household,and,Transport,Communi-,Culture and,Recreation,Education,Recreation,Care and,,Other,Other
,Expenditure,,,and Tubers,Bean,Fats,Processed,,Products,,,,,Beverages,Melons,,Processed,Food,Out,Processing,,,Materials,,Laundering,,,"tricity, Fuels",and,Consumer,for Interior,Articles,Articles for,Materials,Services,Communi-,,cations,Recreation,Articles,,Services,Medical,,Goods,Services
,,,,,Products,,Products,,,,,,,,and Fruits,,Products,,,Service Fees,,,,,Service Fees,,,and Others,Articles,Goods,Decoration,,Daily Use,,,cations,,,,,,,Services,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  National Average,16674.32,6040.85,458.53,54.05,72.68,161.48,1183.59,119.00,408.92,591.97,76.10,55.06,271.47,294.58,506.30,122.97,253.57,93.64,1315.09,1.85,1823.39,1344.87,10.77,401.71,9.42,1484.26,463.64,900.62,1116.06,431.52,27.37,108.05,460.64,10.94,77.54,2455.47,1628.35,827.12,2033.50,451.88,819.62,762.00,1063.68,657.10,439.80,217.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Beijing,24045.86,7535.29,432.00,51.55,73.30,177.90,1084.73,146.93,296.17,583.57,128.73,81.42,301.41,590.23,772.88,258.05,421.05,101.16,2032.46,1.76,2638.90,1814.80,13.43,706.48,15.52,1970.94,869.75,941.31,1610.70,651.50,55.12,183.96,604.57,11.14,104.41,3781.51,2725.74,1055.77,3695.98,823.54,1214.24,1658.20,1658.37,1154.18,804.41,349.77
  Tianjin,20024.24,7343.64,438.70,61.37,58.37,182.78,1128.65,192.10,564.76,614.19,116.79,54.46,290.64,416.94,664.40,215.76,325.39,136.77,1881.44,0.13,1881.43,1347.62,13.58,429.35,11.04,1854.22,704.46,1075.91,1151.16,537.96,42.80,88.95,411.28,5.87,64.30,3083.37,2004.89,1078.48,2254.22,553.15,925.25,775.82,1556.35,899.87,667.62,232.25
  Hebei,12531.12,4211.16,391.57,48.95,58.59,148.51,764.95,125.99,177.91,412.78,69.11,42.12,145.33,279.81,408.96,109.95,203.69,110.71,710.96,1.30,1541.99,1081.25,12.81,375.88,6.48,1502.41,439.42,989.32,876.10,371.96,21.56,73.97,340.15,16.08,52.38,1723.75,1115.09,608.67,1203.80,320.90,481.39,401.51,1047.28,424.63,293.77,130.86
  Shanxi,12211.53,3855.56,421.97,70.33,69.71,117.58,546.45,106.60,73.25,383.69,56.58,33.00,255.65,186.72,402.92,105.19,209.63,82.80,732.17,1.30,1529.47,1143.34,9.26,329.99,8.56,1438.88,362.83,986.78,832.52,384.47,23.95,85.30,296.06,6.10,36.64,1672.29,1012.22,660.08,1506.20,380.90,719.76,405.54,905.88,470.72,312.36,158.36
