12-11  Basic Statistics on Urban Sanitation in Cities by Region (2012),,,,,,,,,
,,,,,,,,,
Region,Area under,Volume of,Volume of,Number of Special,Number of,,,,
,Cleaning,Garbage,Excrement and,Vehicles for,Public,Third Grade,,,
,Program,Disposal,Urine Disposal,Environmental,Lavatories,and Above,,,
,(10 000 sq.m),(10 000 tons),(10 000 tons),Sanitation (unit),(unit),,,,
,,,,,,,,,
  National Total,573507,17080.9,1811.8,112157,121941,85314,,,
,,,,,,,,,
  Beijing,14346,648.3,207.2,9384,5773,5773,,,
  Tianjin,8723,185.8,32.1,2453,1192,754,,,
  Hebei,23128,577.4,85.7,3889,6661,3846,,,
  Shanxi,12637,392.4,79.5,3986,3206,1141,,,
  Inner Mongolia,12755,385.9,106.0,2093,4459,1510,,,
,,,,,,,,,
  Liaoning,33403,929.9,113.4,5323,5582,1713,,,
  Jilin,13287,508.6,88.8,4759,4184,1074,,,
  Heilongjiang,18320,710.0,151.1,5749,7058,1695,,,
,,,,,,,,,
  Shanghai,17294,716.0,200.0,5102,6340,4404,,,
  Jiangsu,48098,1210.1,72.9,8709,10035,8031,,,
  Zhejiang,30973,1055.0,84.2,5607,7852,6172,,,
  Anhui,22229,442.1,27.2,2320,3096,2603,,,
  Fujian,12696,493.8,4.1,2222,2890,2850,,,
  Jiangxi,11964,327.2,44.6,1184,2041,1532,,,
  Shandong,56109,1062.4,120.6,8598,5745,4717,,,
,,,,,,,,,
  Henan,23569,795.8,66.4,3614,7162,6188,,,
  Hubei,21086,716.6,37.2,4091,4702,3417,,,
  Hunan,16216,565.4,4.9,2810,3280,2729,,,
  Guangdong,71791,2136.9,99.4,9066,9648,9137,,,
  Guangxi,11601,266.2,13.4,2022,2159,1522,,,
  Hainan,6384,110.2,22.2,1824,459,336,,,
,,,,,,,,,
  Chongqing,10311,335.3,63.9,1807,1992,1586,,,
  Sichuan,19318,702.8,19.7,3797,5147,3928,,,
  Guizhou,4910,235.7,4.9,1681,1262,1064,,,
  Yunnan,15643,306.7,17.7,2102,2409,2002,,,
  Tibet,678,25.6,,38,43,,,,
,,,,,,,,,
  Shaanxi,12267,433.1,22.9,2072,2872,2620,,,
  Gansu,6235,270.5,17.1,1499,1334,949,,,
  Qinghai,2070,66.3,1.3,319,592,257,,,
  Ningxia,5021,116.2,3.1,672,604,502,,,
  Xinjiang,10445,352.7,0.4,3365,2162,1262,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
